fixation_duration,fixation_x,fixation_y,is_fixation
633.9501953125,741.95,469.25,True
632.864990234375,740.95,469.175,True
632.60791015625,740.0,469.1,True
632.984130859375,739.075,469.075,True
633.18798828125,738.25,469.075,True
631.34619140625,737.425,469.075,True
633.549072265625,736.675,469.1,True
632.9677734375,735.975,469.175,True
633.5029296875,735.725,469.3,True
632.005126953125,735.8,469.475,True
633.531982421875,735.975,469.625,True
632.71923828125,736.175,469.8,True
632.634033203125,736.375,470.025,True
633.2529296875,736.6,470.225,True
635.08740234375,736.85,470.325,True
633.4521484375,737.125,470.475,True
631.59326171875,737.375,470.7,True
633.375,737.525,470.875,True
633.548095703125,737.625,471.125,True
631.910888671875,737.725,471.325,True
633.416015625,737.8,471.55,True
633.792236328125,737.875,471.75,True
632.52490234375,738.075,472.025,True
631.886962890625,738.7,472.35,True
633.31201171875,739.4,472.7,True
632.750732421875,740.2,473.075,True
632.0400390625,740.95,473.425,True
632.055908203125,741.7,473.725,True
633.56787109375,742.475,474.025,True
632.1630859375,743.225,474.275,True
633.673828125,743.975,474.5,True
632.714111328125,744.7,474.725,True
633.77099609375,745.375,474.9,True
633.58984375,746.025,475.075,True
632.362060546875,746.775,475.25,True
634.0458984375,747.575,475.3,True
,,,False
631.8349609375,749.425,475.175,True
633.0908203125,750.3,475.025,True
633.632080078125,751.15,474.825,True
631.431884765625,751.975,474.575,True
633.02880859375,752.75,474.325,True
634.536865234375,753.4,473.95,True
632.467041015625,753.7,473.525,True
632.17919921875,754.0,473.1,True
633.406982421875,754.45,472.75,True
634.240234375,755.1,472.45,True
632.362060546875,755.825,472.2,True
632.672119140625,756.675,472.025,True
633.623046875,757.6,471.925,True
632.501953125,758.575,471.85,True
631.78271484375,759.6,471.775,True
